station_id,name,address,capacity
364,381 - Matienzo Y Arce,"1798 Matienzo, Benjamin, Teniente",24
366,360 - Plaza Ramon Falcon,"3991 Falcon, Ramon L.,Cnel.",20
367,287 - Belaustegui,"2874 Belaustegui, Luis, Dr.",16
369,304 - Navarro,2625 Navarro,20
370,305 - Plaza Martin Rodriguez,3016 Pareja,20
371,269 - Plaza De La Misericordia,493 Lautaro,16
372,322 - MARTÍ Y DIRECTORIO,"404 Marti, Jose",12
373,265 - Plaza Exodo Jujeño,2812 Liverpool,16
375,301 - Arregui Y Terrada,2793 Arregui,16
376,324 - Las Victorias,"4083 Vallese, Felipe",20
377,327 - ACUÑA DE FIGUEROA Y POTOSI,296 Acuna de Figueroa,16
378,215 - HOSPITAL ALVAREZ,Bolivia 683,20
379,390 - De Los Ombues,"De Los Ombues Av. & Bello, Andres",20
380,319 - Cervantes y Trelles,Margariño Cervantes y Trelles,19
381,274 - Plaza Nuestra Señora de la Asuncion,Gavilan 1300,15
382,204 - Biarritz,Biarritz 2403,16
383,263 - Plaza Echeverria,Nahuel Huapi & Triunvirato Av.,18
384,267 - Plaza 25 De Agosto,14 De Julio 1194,16
385,268 - Plaza Aristóbulo Del Valle,"Campana & Sastre, Marcos",15
386,277 - Coghlan,2647 Estomba,8
387,278 - Donato Alvarez,"1540 Garcia, Juan Agustin",16
388,279 - Andonaegui,1902 Andonaegui,19
389,286 - OEA,Del Barco Centenera 741,19
390,288- 11 de septiembre,288- 11 de Septiembre de 1888 3314,20
391,295 - Larralde,3607 Vidal,20
392,297 - TRONADOR Y GARCÍA DEL RÍO,Tronador y Garcia del Rio,16
393,300 - Jose Artigas,524 Balboa,12
395,303 - Huaura,1474 Huaura,16
396,306 - Tres Arroyos Y Olaya,327 Tres Arroyos,20
397,308 - Artigas Y Melincue,Artigas & Melincue,12
398,310 - Gregoria Perez,Gregoria Perez 3314,16
400,313 - De Los Incas,1378 Donado,16
401,314 - Ramón Falcon,"3792 Falcon, Ramon L.,Cnel.",20
402,315 - BEIRO Y SAN MARTÍN,3209 Av. Francisco Beiro,16
403,316 - Buenos Aires,Lafayette 678,19
404,317 - Cero Más Infinito,Ciudad Universitaria - Pabellón Infinito,18
405,318 - Plaza Y Carbajal,1602 Plaza,20
406,326 - Emma De La Barra,"301 De la Barra, Emma",16
407,330 - Parque Avellaneda,4001 Directorio Av. y Lacarra,28
408,337 - UTN,Mozart 2400,20
409,339 - AMANCIO ALCORTA,Av. Amancio Alcorta 4180,8
411,368 - Ensenada,413 Ensenada,12
413,382 - CMD,1016 Algarrobo,16
414,385 - Franklin,440 Franklin,19
415,386 - Gavilan Y Vallese,786 Gavilan,20
416,257 - Plaza Francisco Ramirez,"2700 Pedraza, Manuela",28
417,328 - Centro Cultural San Martin,1501 Sarmiento,20
418,345 - Plaza Mafalda,"Arenal, Concepcion & Martinez, Enrique, Gral.",20
419,359 - Plaza Balcarce,2324 Jaramillo,28
420,375 - Ciudad Universitaria I,Ciudad Universitaria - Pabellón 1(CABA),19
421,376 - Ciudad Universitaria II,Ciudad Universitaria - Pabellón 2 (CABA),12
422,377 - Ciudad Universitaria III,Ciudad Universitaria - Pabellón 3 (CABA),28
423,351-PLAZA DE LOS PERIODISTAS,2900 NEUQUEN,12
424,387 - Luna,201 Luna,15
426,396 - PLAZA ALBERTI,Arcos & Roosevelt Franklin D.,20
427,397 - PLAZA MATHEU,"Hernandarias & Araoz De Lamadrid, Gregorio, Gral.",23
428,225 - HOSPITAL TORNU,1052 Avalos,20
429,201 - PEPIRI,Amancio Alcorta y Pepiri,7
430,037 - Claudia Pia Braudacco,Esmeralda y Av.Rivadvia,12
431,362 - PARQUE DE LA MEMORIA,7201 Av. Costanera,35
432,187 - Jose Maria Moreno,141 Jose Maria Moreno,19
433,273 - Plazoleta Colombia,1619 Brandsen,20
434,247 - Plaza Lucio Demare,3750 O`Higgins,12
435,227 -Club Ciudad de Buenos Aires,Miguel Sanchez y Av Libertadores,16
436,253 - Plaza Colegiales,253 - Plaza Colegiales,28
441,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",19
442,048 - Perón,J. D. Perón 338,15
443,081 -Balcarce,Balcarce y Chile,18
444,061-Ministerio de Economia,"Balcarce & Yrigoyen, Hipolito Av.",24
448,393 - Barrio 31,Carlos H. Perette 11,23
449,352 - San Jose de Flores,Avenida Rivadavia y Fray Cayetano,24
450,teste ecobici - 450,teste ecobici - 450,1
451,teste ecobici - 451,teste ecobici - 451,1
